SN,ID,Name,Network,Active,Location,latitude,longitude,Purple Air map name,Site description,Mac Address,Installation Date mm/dd/yyyy,Uninstalled ,Owner,Associated,,Notes
20,294289,23 Dimotiko Patras 2025,Schools Patras,Y,23 Dimotiko Patras,38.258595,21.750065,23 Dimotiko Patras,Urban,84:F3:EB:45:26:21,9/11/2025,-,,,,
21,121199,Gymnasio Ovryas,Schools Patras,Y,Gymnasio Ovryas,38.188732,21.72195,Gymnasio Ovryas,Suburban,10:52:1C:45:1E:4A,12/12/2022,-,,,,
22,202603,64 Dimotiko Patras,Schools Patras,Y,64 Dimotiko Patras,38.26444,21.741283,64 Dimotiko Patras,Urban,C8:C9:A3:F:5E:E3,10/9/2024,-,spyros@chemeng.upatras.gr,laqs.forth@gmail.com,,
23,121529,Dimotiko Saravaliou,Schools Patras,Y,Dimotiko Saravaliou,38.191635,21.760658,Dimotiko Saravaliou,Suburban,10:52:1C:4D:11:4,12/12/2022,-,,,,
24,121539,Peiramatiko Lagoura,Schools Patras,Y,Peiramatiko Lagoura,38.230366,21.745886,Peiramatiko Lagoura,Urban,10:52:1C:41:81:43,12/7/2022,-,,,,
25,293989,19 Gymnasio Patras 2025,Schools Patras,Y,19 Gymnasio Patras,38.213306,21.726892,19 Gymnasio Patras 2025,Suburban,80:7D:3A:2B:8D:3A,9/6/2025, ,,,,
26,121547,20 Gymnasio Patras,Schools Patras,Y,20 Gymnasio Patras,38.208508,21.773191,20o Gymnasio Patras,Suburban,10:52:1C:41:49:13,12/7/2022,-,,,,
27,121513,5 Gymnasio Patron,Schools Patras,Y,5 Gymnasio Patron,38.23702974,21.74642157,5o Gymnasio Patron,Urban,10:52:1C:41:31:2,12/7/2022,-,,,,
28,121535,15 Dimotiko Patras,Schools Patras,Y,15 Dimotiko Patras,38.23509195,21.745478,15 Dimotiko Patras,Urban,10:52:1C:41:97:89,12/12/2022,-,,,,
29,57523,Drepano,TITAN,Y,Drepano,,,Germanou_Test04,,84:F3:EB:6E:93:B6,2/15/2023,-,,,,
30,298495,Araxovitika 2025,TITAN,Y,Araxovitika,38.33,21.84139,Araxovitika 2025,,A0:20:A6:B:82:5,10/14/2025,-,,,,
31,14993,Upatras Ps,TITAN,Y,Psathopirgos,,,Upat_Psath_2024,,84:f3:eb:45:1e:49,10/9/2024,-,,,,
32,26539,Nafpaktos-Kotroni,Nafpaktos,Y,Nafpaktos-Kotroni,38.3806655,21.79871956,Nafpaktos1,Suburban,,,-,akaza@upatras.gr,,,
33,31135,Nafpaktos-Siamanta,Nafpaktos,Y,Nafpaktos-Siamanta,38.39656,21.71781,Nafpaktos Siamanta,Urban,,,-,akaza@upatras.gr,,,
34,23837,FORTH,Patras,Y,ICE/ FORTH,38.2977342,21.80899786,ICE/ FORTH,Background,xxxx,,-,,,,
-,5092,Kypseli,Patras,Y,Kypseli,38.224144,21.735792,Kypseli,Urban,a0:20:a6:a:a4:ce,,-,,,,
-,250223,New Port of Patras 2024 faulty,Patras ,N,New Port of Patras,38.22473,21.71987,New Port of Patras 2024,Urban,10:52:1C:41:4B:78,11/6/2024,11/22/2024,,,,
-,57521,Drepano old1,TITAN,N,Old Drepano,,,Aktaio_old_Test_2024,,5c:cf:7f:f9:1e:86,6/10/2020,1/10/2023,,,,
-,30779,Upatras Ar_1_old,TITAN,N,Old Araxovitika1,,,Upatras Ar,,84:F3:EB:27:7E:9,2/6/2020,2/4/2021,,,northern station ,
-,56317,Upatras Ar_2_old,TITAN,N,Old Araxovitika2,,,Upatras Ar,,BC:DD:C2:71:8B:7B,3/7/2021,4/3/2022,,,southern station,
-,146920,Upatras Ar_3_old,TITAN,N,Old Araxovitika3,,,Upatras Araxo,,5c:cf:7f:5c:9c:d1 ,4/21/2022,3/30/2023,,,,
-,30765,Upatras Ps_1_old,TITAN,N,Psathopirgos,,,Upatras Ps,,84:F3:EB:27:7E:F,2/18/2020,10/9/2024,,,,
 -,56453,Kritika old,Patras,Y,Kritika,38.24307,21.744677,Kritika,Urban,D8:BF:C0:E2:29:C1,4/1/2021,12/19/2024,,,,
-,1030,Trion Navarchon old,Patras,N,Trion Navarchon,38.242233,21.731613,Trion Navarchon Old,City Center - Restaurant,"a0:20:a6:b:eb:d	",3/18/2017,8/3/2021,,,,
-,1712,Koukouli,Patras,Y,Koukouli,38.21937,21.756044,Koukouli,Urban,"5c:cf:7f:f9:1c:54	",11/25/2017,?,,,,
-,98001,Agia Sofia,Patras,N,Agia Sofia,38.25757,21.7418,Agia Sofia 2023,Urban,10:52:1C:44:D8:1A,10/16/2023,?,,,never online,
-,5131,Agia Sofia old1,Patras,N,Agia Sofia,38.2576,21.74202,Agia Sofia,Urban,a0:20:a6:b:82:5,1/30/2018,4/17/2021,,,chck unistall date,
-,105810,Agia Sofia old2,Patras,N,Agia Sofia,38.26301,21.74841,Agia Sofia,Urban,2c:3a:e8:34:fe:7d,5/6/2021,?,spyros@chemeng.upatras.gr,,,
-,9928,Palio Telonio,Patras,N,Palio Telonio,38.24463,21.72985,Palio Telonio,City Center,2c:3a:e8:34:fe:7d,2/15/2019,2/11/2021,,,,
-,1704,Aktaio Indoor,Patras Indoor,N,Aktaio,Aktaio ,38.304512,21.794697,Indoor,5c:cf:7f:f9:1e:86,8/11/2017,1/1/2020,,,,
-,,Kypseli (Inside),,N,Kypseli indoor,Kipseli Inside,38.22415,21.73579,Indoor,,,?,https://www.purpleair.com/sensorlist?key=GGHXCYWZXG4QXF1K&show=27285,,,
-,749,Agia old1,Patras,N,Agyia,38.26301,21.74841,Agia,Urban,"a0:20:a6:b:fe:6b	",1/27/2017,7/23/2024,,,,
-,741,New Port of Patras 2024 old,Patras,N,New Port of Patras,38.22473,21.71987,New Port of Patras,Urban,a0:20:a6:b:ec:18,3/2/2017,11/6/2024,,,,
-,116401,49 Dimotiko Patras old 1,Schools Patras,N,49 Dimotiko Patras,38.27691,21.760338,49 Dimotiko Patras,Suburban,8C:AA:B5:55:A:CD,12/8/2022,10/10/2024,giokosmopoulos@gmail.com,amatrali3197@gmail.com ,,
-,121541,19 Gymnasio Patras old 1,Schools Patras,N,19 Gymnasio Patra,38.213306,21.726892,19o Gymnasio Patras,Suburban,10:52:1C:41:53:36,12/7/2022,12/15/2023,,,,
-,121511,64 Dimotiko Patras old1,Schools Patras,N,64 Dimotiko Patras,38.26444,21.741283,64 Dimotiko Patras,Urban,10:52:1C:41:A0:DC,12/13/2022,10/9/2024,,,,
-,1592,Rio old,Patras,N,Rio,38.304512,21.794697,Rio 3,Suburban,a0:20:a6:b:ea:a3,5/13/2017,10/9/2024,,,,
25,165603,19 Gymnasio Patras old,Schools Patras,N,19 Gymnasio Patras,38.213306,21.726892,19 Gymnasio Patras 2023,Suburban,C4:5B:BE:EA:C2:BD,12/15/2023,check date!!!!,,,,
20,116409,23 Dimotiko Patras,Schools Patras,Í,23 Dimotiko Patras,38.258595,21.750065,23 Dimotiko Patras,Urban,8C:AA:B5:55:B:A2,12/8/2022,9/8/2025,,,,
30,133568,Upatras_Ar_2023,TITAN,N,Araxovitika,,,Upatras_Ar_2023,,48:3F:DA:A6:FB:EA,3/30/2023,9/19/2025,,,,
11,101589,Lefka,Patras,Y,Lefka,38.20659,21.727135,Lefka,Suburban,40:F5:20:1E:8D:A0,11/17/2021,?,,,,
 ,5078,Psila Alonia,Patras,Y,Psila Alonia,38.23952,21.734823,Psila Alonia,City Center,a0:20:a6:a:a5:81,1/27/2018,10/28/2024,,,,
